Nombre,Teléfono,Web,Emails_Encontrados,Link_WhatsApp,Dirección,Tiene_Web
Clinica Veterinaria Canelos,No encontrado,,NO WEBSITE,,"  ""Sin duda, un muy buen veterinario y ser humano.""",NO
HOSPITAL VETERINARIO ECONO PET'S,No encontrado,,NO WEBSITE,,No detectada,NO
Hospital De Urgencias Veterinarias Borges,No encontrado,https://veterinariasborges.com/,No detectados,,No detectada,SÍ
Clínica Veterinaria Bienestar Animal,No encontrado,https://www.facebook.com/Clinica.bienestar.animal24,No detectados,,"  ""Maravilloso trato y precio, recomiendo esta clínica ampliamente!""",SÍ
HOSPITAL VETERINARIO J YSAAC MARTINEZ Y ESTETICA CANINA,No encontrado,https://www.facebook.com/Hospital-Veterinario-J-Ysaac-Martinez-113637992682570/,No detectados,,"  ""Excelente Lugar 👍, Precios accesibles y consultas acertadas.""",SÍ
Clínica Veterinaria La Nueva Era,No encontrado,,NO WEBSITE,,"  ""Excelente trato a nuestras mascotas, muy amables...""",NO
Leija Hospital Veterinario,No encontrado,https://www.facebook.com/leijahospitalveterinario,No detectados,,No detectada,SÍ
Mininos-kan,No encontrado,,NO WEBSITE,,No detectada,NO
Veterinario Hermosillo - Dr. Francisco R. Torres Romero,No encontrado,,NO WEBSITE,,"  ""Excelente servicio, precio y efectividad del veterinario.""",NO
Peiró Veterinaria,No encontrado,http://www.facebook.com/peiroveterinaria/?ref=br_rs,No detectados,,No detectada,SÍ
Roedores y Alimentos Hermosillo,No encontrado,,NO WEBSITE,,No detectada,NO
"Veterinaria Animal Pet, suc. Ley 57",No encontrado,https://www.facebook.com/VetAnimalPet?mibextid=LQQJ4d,No detectados,,No detectada,SÍ
Cannis Feliss Clínica Veterinaria,No encontrado,,NO WEBSITE,,"  ""La mejor atención para las mascotas, muy consciente en los precios el MV""",NO
Clínica Veterinaria y Estética Canina Ysaac Martínez,No encontrado,,NO WEBSITE,,No detectada,NO
Clinica veterinaria Dra Lizeth,No encontrado,,NO WEBSITE,,"  ""Excelente servicio, personal muy capacitado y sensible con los animales.""",NO
"Clínica Veterinaria ""Animal Home""",No encontrado,http://www.facebook.com/animalhome.vet,No detectados,,No detectada,SÍ
M.V.Z. JUVENAL CAMBERO GIL,No encontrado,http://centroveterinariohermosillo.com/,No detectados,,No detectada,SÍ
VETERINARIA MUNDO ANIMAL,No encontrado,,NO WEBSITE,,No detectada,NO
FIGVET VETERINARIA,No encontrado,http://figvetveterinarias.com/,No detectados,,"  ""La mejor atención médica para las mascotas, súper atentos y serviciales""",SÍ
Clínica Veterinaria Canelo´s,No encontrado,https://www.facebook.com/people/Clinica-Veterinaria-Canelos/61584257425390/,No detectados,,No detectada,SÍ
Veterinaria El Llano,Cerrado ⋅ Abre a las 8 a.m. del mar · 662 218 4099,,NO WEBSITE,https://wa.me/5286622184099,"  ""Muy buen lugar, atendieron muy bien al perrito, amables todos.""",NO
CENTRO VETERINARIO HERMOSILLO,Cerrado ⋅ Abre a las 9:30 a.m. del mar · 662 216 6500,https://www.centroveterinariohermosillo.com/,No detectados,https://wa.me/529306622166500,No detectada,SÍ
H&P Veterinaria y Estética Canina,No encontrado,,NO WEBSITE,,No detectada,NO
Son Pets veterinaria suc Reforma,No encontrado,https://www.facebook.com/SonPets/,No detectados,,No detectada,SÍ
Agroveterinaria De Sonora (Matriz),Cerrado ⋅ Abre a las 8 a.m. del mar · 662 217 2036,http://agroveterinaria.com.mx/,ejemplo@hotmail.com; cobranza@agroveterinaria.com.mx; ventas@agroveterinaria.com.mx; ejemplo@correo.com,https://wa.me/5286622172036,No detectada,SÍ
Derma animals,Cerrado ⋅ Abre a las 9 a.m. del mar · 662 198 1000,,NO WEBSITE,https://wa.me/5296621981000,"  ""Muy biena atención, mi perrito no llega nervioso cuando lo llevo aquí""",NO
Petxpress Hospital Veterinaria,No encontrado,,NO WEBSITE,,No detectada,NO
Veterinaria Andrade,No encontrado,,NO WEBSITE,,No detectada,NO
